has_variant,product_url,name,sku,mpn,availability,price,description,image_array,brand,image,barcode,barcode_type,color,size,isPriceExcVAT,available_option
False,https://www.fatbraintoys.com/toy_companies/ooly/scenic_hues_diy_watercolor_kit_flowers_gardens.cfm?ah=INA100-1,Scenic Hues D.I.Y. Watercolor Kit Flowers & Gardens,INA100-1,161-101,True,9.95,Watercolor art is in bloom,"['https://www.fatbraintoys.com/images/products/large/ina100.jpg', 'https://www.fatbraintoys.com/images/products/detail/ina100/ina100_0.jpg']",Ooly,https://www.fatbraintoys.com/images/products/large/ina100.jpg,810104680929,UPC,,,False,Scenic Hues D.I.Y. Watercolor Kit Flowers & Gardens
False,https://www.fatbraintoys.com/toy_companies/ooly/foil_tastic_foil_art_kit_gadgets_gizmos.cfm?ah=INA088-1,Foil-Tastic Foil Art Kit - Gadgets & Gizmos,INA088-1,161-131,True,10.95,"This foil art kit comes with 12 individual, double sided pages, and 24 foil sheets. The whimsical designs feature space, robots, rockets, and other popular techie devices. And when your kiddo is finished having fun with their foil design, they can flip to the coloring page on the back!","['https://www.fatbraintoys.com/images/products/large/ina088.jpg', 'https://www.fatbraintoys.com/images/products/detail/ina088/ina088_0.jpg']",Ooly,https://www.fatbraintoys.com/images/products/large/ina088.jpg,810104683524,UPC,,,False,Foil-Tastic Foil Art Kit - Gadgets & Gizmos
False,https://www.fatbraintoys.com/toy_companies/ravensburger/creart_pixie_cold_bee_8x8.cfm?ah=RB338-1,CreArt Pixie Cold - Bee 8x8,RB338-1,23512,True,16.95,"Take a break from buzzing around and reconnect with yourself and nature with our “Pixie Cold: Bee” CreArt Painting by Numbers set! Go to your peaceful place with no screens and no demands as you paint this luminous “Bee” under a crescent moon and twinkling stars by artist Pixie Cold. Our delightful CreArt paint-by-number kit makes it easy! Simply fill in each clearly numbered section and watch the image emerge. The prepared patterns and high-quality, odorless acrylic paints ensure excellent results as you create your personal masterpiece. De-stress and find success as you discover the joy of art in your heart today!","['https://www.fatbraintoys.com/images/products/large/rb338.jpg', 'https://www.fatbraintoys.com/images/products/detail/rb338/rb338_0.jpg']",Ravensburger,https://www.fatbraintoys.com/images/products/large/rb338.jpg,4005556235124,EAN,,,False,CreArt Pixie Cold - Bee 8x8
False,https://www.fatbraintoys.com/toy_companies/ravensburger/creart_roaming_dinosaur_5x7.cfm?ah=RB332-1,CreArt Roaming Dinosaur - 5x7,RB332-1,23561,True,14.95,"Give your kids a roaring good time with our CreArt “Roaming Dinosaur” Painting by Numbers set and unleash their creativity! Feed your young one’s creative side as they create a cool painting featuring a “Roaming Dinosaur”! They can relax with this fun and satisfying paint-by-number kit, complete with everything needed to make and display their very own masterpiece! Success is simple, with color-outlined sections and matching, odorless acrylic paints to ensure picture-perfect results. Finish in about 4 hours, let dry, then use the included frame to proudly display your budding artist’s talent!",['https://www.fatbraintoys.com/images/products/large/rb332.jpg'],Ravensburger,https://www.fatbraintoys.com/images/products/large/rb332.jpg,4005556235612,EAN,,,False,CreArt Roaming Dinosaur - 5x7
False,https://www.fatbraintoys.com/toy_companies/ooly/shrink_its_diy_shrink_art_bracelets_kit_bff.cfm?ah=INA093-1,Shrink-Its! D.I.Y. Shrink Art Bracelets Kit - B.F.F.,INA093-1,161-133,True,12.95,"This adorable bracelet making set is the perfect jewelry project for BFFs to do together! This shrink art kit includes enough pre-cut shrink charms and colored cords to make 20 bracelets. Each shrink charm is one-half of a famous bestie, like peanut butter and jelly, a cloud and a rainbow, and much more! Just color in the design, have an adult put them in the oven, and marvel at how in only a few minutes, bracelet-ready charms appear! Then kiddos can decide: are they more peanut butter than jelly? More milk than cookie? Whatever they choose, these DIY charm bracelets are a delightful way to spend an afternoon!","['https://www.fatbraintoys.com/images/products/large/ina093.jpg', 'https://www.fatbraintoys.com/images/products/detail/ina093/ina093_0.jpg']",Ooly,https://www.fatbraintoys.com/images/products/large/ina093.jpg,810104683661,UPC,,,False,Shrink-Its! D.I.Y. Shrink Art Bracelets Kit - B.F.F.
False,https://www.fatbraintoys.com/toy_companies/djeco_us/do_it_yourself_in_the_air_paper_bowls.cfm?ah=DJE346-1,Do It Yourself In The Air Paper Bowls,DJE346-1,DJ07982,True,19.95,"A comprehensive creative kit to make 2 decorative paper bowls using only paper and glue. Simply glue the big confetti onto the molds using the liquid glue, first on the inside and then on the outside of the bowl, leave to dry, and unmold them. Then, they’re ready to use! How proud we are to use these two lovely matching cubbies! • Original activity to create real paper bowls. • 2 bowl sizes in the kit: small and large. • The practical plastic palette lets you release the glue so you can dip the brush into it without getting it all over the place, making it easier to catch the confetti. • The bowl molds are transparent so you can see where you’re gluing the confetti. • Step-by-step instructions are provided. Contents: 2 bowls (2 sizes), 2 tubes of liquid glue, 1 palette, 1 brush, 4 bags large paper confetti with motifs, and 1 sheet of step-by-step instructions Recommended for ages 7 years +","['https://www.fatbraintoys.com/images/products/large/dje346.jpg', 'https://www.fatbraintoys.com/images/products/detail/dje346/dje346_0.jpg']",Djeco-US,https://www.fatbraintoys.com/images/products/large/dje346.jpg,3070900079823,EAN,,,False,Do It Yourself In The Air Paper Bowls
False,https://www.fatbraintoys.com/toy_companies/ravensburger/creart_cute_giraffes_5x7.cfm?ah=RB333-1,CreArt Cute Giraffes - 5x7,RB333-1,23615,True,14.95,"Stretch your child’s imagination as they enjoy some towering fun with this “Cute Giraffes” CreArt Painting by Numbers set! Reach for a fun, creative art project and watch your kids smile as they paint “Cute Giraffes”! They can take a break from their busy day and relax with this satisfying paint-by-number kit, complete with everything needed to make and display their very own masterpiece. Success is simple, with color-outlined sections and matching, odorless acrylic paints to ensure picture-perfect results. Finish in about 4 hours, let dry, then use the included frame to proudly display your budding artist’s talent! Looking for a fun activity that keeps your kids off their screens? Help them discover their inner artist with CreArt, our high-quality Painting by Numbers sets! With kid-friendly images designed to match abilities, budding artists can complete a painting in just a few hours. Each section is outlined in its paint color to ensure great results. Painting is a creative activity that may improve dexterity and concentration while providing a sense of satisfaction and relaxing calm! CreArt contains everything children need to create their painting: a high-quality, thick painting board; 10 water-based, opaque acrylic paints in numbered pots; pallet to hold the easy-open/resealable paint pots steady; durable, fine-point paintbrush; easy-to-follow guide sheet; frame to display their finished artwork. Makes a great gift! Made in Czech Republic. Measures approximately 5.1 x 7.1 inches (13 x 18 cm). Fun for ages 7 and up!",['https://www.fatbraintoys.com/images/products/large/rb333.jpg'],Ravensburger,https://www.fatbraintoys.com/images/products/large/rb333.jpg,4005556236152,EAN,,,False,CreArt Cute Giraffes - 5x7
False,https://www.fatbraintoys.com/toy_companies/ravensburger/creart_pixie_cold_fox_8x8.cfm?ah=RB337-1,CreArt Pixie Cold - Fox 8x8,RB337-1,23511,True,16.95,"Feel your stress slide away as you escape into the tranquility of the nature kingdom with our “Pixie Cold: Fox” CreArt Painting by Numbers set! Take some “me-time” as you relax your mind and go to your peaceful place with no screens and no demands, and paint this captivating red “Fox” by artist Pixie Cold. Our delightful CreArt paint-by-number kit makes it easy! Simply fill in each numbered section and watch the image emerge. The prepared patterns and high-quality, odorless acrylic paints ensure excellent results as you create your personal masterpiece. De-stress and find success as you discover the joy of art in your heart today!","['https://www.fatbraintoys.com/images/products/large/rb337.jpg', 'https://www.fatbraintoys.com/images/products/detail/rb337/rb337_0.jpg']",Ravensburger,https://www.fatbraintoys.com/images/products/large/rb337.jpg,4005556235117,EAN,,,False,CreArt Pixie Cold - Fox 8x8
False,https://www.fatbraintoys.com/toy_companies/ravensburger/creart_enchanting_mermaid_with_glitter_7x10.cfm?ah=RB335-1,CreArt Enchanting Mermaid with Glitter - 7x10,RB335-1,23568,True,19.95,"Watch your child’s imagination and creativity sparkle beneath the magical sea with a mesmerizing “Enchanting Mermaid” CreArt Painting by Numbers set! If glitter is on your child’s list of favorites, they’re sure to enjoy creating this sparkling “Enchanting Mermaid” CreArt paint-by-numbers kit! Fun and relaxing, the set comes complete with everything needed to make and display their very own masterpiece, including glitter! Success is simple, with color-outlined sections and matching, odorless paints to ensure picture-perfect results. Finish in about 4 hours, let dry, then use the included frame to proudly display your budding artist’s talent! Looking for a fun activity that keeps your kids off their screens? Help them discover their inner artist with CreArt, our high-quality Painting by Numbers sets! With kid-friendly images designed to match abilities, budding artists can complete a painting in just a few hours. Each section is outlined in its paint color to ensure great results. Painting is a creative activity that may improve dexterity and concentration while providing a sense of satisfaction and relaxing calm! CreArt contains everything children need to create their painting: a high-quality, thick painting board; 13 water-based, opaque acrylic paints in numbered pots; pallet to hold the easy-open/resealable paint pots steady; durable, fine-point paintbrush; easy-to-follow guide sheet; glitter and finish/glue; glitter frame to display their finished artwork. Makes a great gift!","['https://www.fatbraintoys.com/images/products/large/rb335.jpg', 'https://www.fatbraintoys.com/images/products/detail/rb335/rb335_0.jpg']",Ravensburger,https://www.fatbraintoys.com/images/products/large/rb335.jpg,4005556235681,EAN,,,False,CreArt Enchanting Mermaid with Glitter - 7x10
False,https://www.fatbraintoys.com/toy_companies/ooly/foil_tastic_foil_art_kit_whimsical_world.cfm?ah=INA086-1,Foil-Tastic Foil Art Kit - Whimsical World,INA086-1,161-132,True,10.95,This foil art kit is the perfect balance of coloring and crafting!,"['https://www.fatbraintoys.com/images/products/large/ina086.jpg', 'https://www.fatbraintoys.com/images/products/detail/ina086/ina086_0.jpg', 'https://www.fatbraintoys.com/images/products/detail/ina086/ina086_1.jpg', 'https://www.fatbraintoys.com/images/products/detail/ina086/ina086_2.jpg']",Ooly,https://www.fatbraintoys.com/images/products/large/ina086.jpg,810104683531,UPC,,,False,Foil-Tastic Foil Art Kit - Whimsical World
